ProgramNumber,PatchName,Color,Brightness,Effect,EffectSpeed
0,FarFarNorth_01,Orange,100,sparkle,1.0
1,FarFarNorth_02,Magenta,80,sparkle,0
2,FarFarNorth_03,Green,100,no_effect,0
3,FarFarNorth_04,Blue,100,no_effect,0
4,Fearless_01,OffWhite,100,no_effect,0
5,Fearless_02,OffWhite,100,no_effect,0
6,Fearless_03,OffWhite,100,no_effect,0
7,Fearless_04,OffWhite,100,no_effect,0
8,Invention_01,OffWhite,100,no_effect,0
9,Invention_02,OffWhite,100,no_effect,0
10,Invention_03,OffWhite,100,no_effect,0
11,Invention_04,OffWhite,100,no_effect,0
12,Partita_01,OffWhite,100,no_effect,0
13,Partita_02,OffWhite,100,no_effect,0
14,Partita_03,OffWhite,100,no_effect,0
15,Partita_04,OffWhite,100,no_effect,0
16,Autumn_01,OffWhite,100,no_effect,0
17,Autumn_02,OffWhite,100,no_effect,0
18,Autumn_03,OffWhite,100,no_effect,0
19,Autumn_04,OffWhite,100,no_effect,0
20,Blastulous_01,OffWhite,100,no_effect,0
21,Blastulous_02,OffWhite,100,no_effect,0
22,Blastulous_03,OffWhite,100,no_effect,0
23,Blastulous_04,OffWhite,100,no_effect,0
24,Grindy_01,OffWhite,100,no_effect,0
25,Grindy_02,OffWhite,100,no_effect,0
26,Grindy_03,OffWhite,100,no_effect,0
27,Grindy_04,OffWhite,100,no_effect,0
28,Ze_01,OffWhite,100,no_effect,0
29,Ze_02,OffWhite,100,no_effect,0
30,Ze_03,OffWhite,100,no_effect,0
31,Ze_04,OffWhite,100,no_effect,0
32,Sixteen_01,OffWhite,100,no_effect,0
33,Sixteen_02,OffWhite,100,no_effect,0
34,Sixteen_03,OffWhite,100,no_effect,0
35,Sixteen_04,OffWhite,100,no_effect,0
36,Seventeen_01,OffWhite,100,no_effect,0
37,Seventeen_02,OffWhite,100,no_effect,0
38,Seventeen_03,OffWhite,100,no_effect,0
39,Seventeen_04,OffWhite,100,no_effect,0
40,Crack_01,OffWhite,100,no_effect,0
41,Crack_02,OffWhite,100,no_effect,0
42,Crack_03,OffWhite,100,no_effect,0
43,Crack_04,OffWhite,100,no_effect,0
127,GlobalPreset,OffWhite,100,no_effect,0.0
